,length,ticket
117,11668,11668
118,17558,PC 17558
119,347082,347082
120,14879,S.O.C. 14879
121,54510,A4. 54510
122,237736,237736
123,27267,27267
124,35281,35281
125,2651,2651
126,370372,370372
127,17369,C 17369
128,2668,2668
129,347061,347061
130,349241,349241
131,3101307,SOTON/O.Q. 3101307
132,3337,A/5. 3337
133,228414,228414
134,29178,C.A. 29178
135,2133,SC/PARIS 2133
136,11752,11752
137,113803,113803
138,7534,7534
139,17593,PC 17593
140,2678,2678
141,347081,347081
142,3101279,STON/O2. 3101279
143,365222,365222
144,231945,231945
145,33112,C.A. 33112
146,350043,350043
147,6608,W./C. 6608
148,230080,230080
149,244310,244310
150,1166,S.O.P. 1166
151,113776,113776
152,11206,A.5. 11206
153,851,A/5. 851
154,265302,Fa 265302
155,17597,PC 17597
156,35851,35851
157,392090,SOTON/OQ 392090
158,315037,315037
159,2343,CA. 2343
160,371362,371362
161,33595,C.A. 33595
162,347068,347068
163,315093,315093
164,3101295,3101295
165,363291,363291
166,113505,113505
167,347088,347088
168,17318,PC 17318
169,1601,1601
170,111240,111240
171,382652,382652
172,347742,347742
173,,STON/O 2. 3101280
174,17764,17764
175,350404,350404
176,4133,4133
177,17595,PC 17595
178,250653,250653
179,,LINE
180,2343,CA. 2343
181,2131,SC/PARIS 2131
182,347077,347077
183,230136,230136
184,315153,315153
185,113767,113767
186,370365,370365
187,111428,111428
188,364849,364849
189,349247,349247
190,234604,234604
191,28424,28424
192,350046,350046
193,230080,230080
194,17610,PC 17610
195,17569,PC 17569
196,368703,368703
197,4579,4579
198,370370,370370
199,248747,248747
200,345770,345770
201,2343,CA. 2343
202,3101264,3101264
203,2628,2628
204,3540,A/5 3540
205,347054,347054
206,3101278,3101278
207,2699,2699
208,367231,367231
209,112277,112277
210,3101311,SOTON/O.Q. 3101311
211,13528,F.C.C. 13528
212,21174,A/5 21174
213,250646,250646
214,367229,367229
215,35273,35273
216,3101283,STON/O2. 3101283
217,243847,243847
218,11813,11813
219,14208,W/C 14208
220,392089,SOTON/OQ 392089
221,220367,220367
222,21440,21440
223,349234,349234
224,19943,19943
225,4348,PP 4348
226,751,SW/PP 751
227,21173,A/5 21173
228,236171,236171
229,4133,4133
230,36973,36973
231,347067,347067
232,237442,237442
233,347077,347077
234,29566,C.A. 29566
235,6609,W./C. 6609
236,26707,26707
237,31921,C.A. 31921
238,28665,28665
239,1585,SCO/W 1585
240,2665,2665
241,367230,367230
242,14263,W./C. 14263
243,,STON/O 2. 3101275
244,2694,2694
245,19928,19928
246,347071,347071
247,250649,250649
248,11751,11751
249,244252,244252
250,362316,362316
251,347054,347054
252,113514,113514
253,3336,A/5. 3336
254,370129,370129
255,2650,2650
256,17585,PC 17585
257,110152,110152
258,17755,PC 17755
259,230433,230433
260,384461,384461
261,347077,347077
262,110413,110413
263,112059,112059
264,382649,382649
265,17248,C.A. 17248
266,3101295,3101295
267,347083,347083
268,17582,PC 17582
269,17760,PC 17760
270,113798,113798
271,,LINE
272,250644,250644
273,17596,PC 17596
274,370375,370375
275,13502,13502
276,347073,347073
277,239853,239853
278,382652,382652
279,2673,C.A. 2673
280,336439,336439
281,347464,347464
282,345778,345778
283,10482,A/5. 10482
284,113056,113056
285,349239,349239
286,345774,345774
287,349206,349206
288,237798,237798
289,370373,370373
290,19877,19877
291,11967,11967
292,2163,SC/Paris 2163
293,349236,349236
294,349233,349233
295,17612,PC 17612
296,2693,2693
297,113781,113781
298,19988,19988
299,17558,PC 17558
300,9234,9234
301,367226,367226
302,,LINE
303,226593,226593
304,2466,A/5 2466
305,113781,113781
306,17421,17421
307,17758,PC 17758
308,3381,P/PP 3381
309,17485,PC 17485
310,11767,11767
311,17608,PC 17608
312,250651,250651
313,349243,349243
314,13529,F.C.C. 13529
315,347470,347470
316,244367,244367
317,29011,29011
318,36928,36928
319,16966,16966
320,21172,A/5 21172
321,349219,349219
322,234818,234818
323,248738,248738
324,2343,CA. 2343
325,17760,PC 17760
326,345364,345364
327,28551,28551
328,363291,363291
329,111361,111361
330,367226,367226
331,113043,113043
332,17582,PC 17582
333,345764,345764
334,17611,PC 17611
335,349225,349225
336,113776,113776
337,16966,16966
338,7598,7598
339,113784,113784
340,230080,230080
341,19950,19950
342,248740,248740
343,244361,244361
344,229236,229236
345,248733,248733
346,31418,31418
347,386525,386525
348,37671,C.A. 37671
349,315088,315088
350,7267,7267
351,113510,113510
352,2695,2695
353,349237,349237
354,2647,2647
355,345783,345783
356,113505,113505
357,237671,237671
358,330931,330931
359,330980,330980
360,347088,347088
361,2167,SC/PARIS 2167
362,2691,2691
363,3101310,SOTON/O.Q. 3101310
364,370365,370365
365,7076,C 7076
366,110813,110813
367,2626,2626
368,14313,14313
369,17477,PC 17477
370,11765,11765
371,3101267,3101267
372,323951,323951
373,17760,PC 17760
374,349909,349909
375,17604,PC 17604
376,7077,C 7077
377,113503,113503
378,2648,2648
379,347069,347069
380,17757,PC 17757
381,2653,2653
382,,STON/O 2. 3101293
383,113789,113789
384,349227,349227
385,14879,S.O.C. 14879
386,2144,CA 2144
387,27849,27849
388,367655,367655
389,1748,SC 1748
390,113760,113760
391,350034,350034
392,3101277,3101277
393,35273,35273
394,9549,PP 9549
395,350052,350052
396,350407,350407
397,28403,28403
398,244278,244278
399,240929,240929
400,,STON/O 2. 3101289
401,341826,341826
402,4137,4137
403,3101279,STON/O2. 3101279
404,315096,315096
405,28664,28664
406,347064,347064
407,29106,29106
408,312992,312992
409,4133,4133
410,349222,349222
411,394140,394140
412,19928,19928
413,239853,239853
414,,STON/O 2. 3101269
415,343095,343095
416,28220,28220
417,250652,250652
418,28228,28228
419,345773,345773
420,349254,349254
421,13032,A/5. 13032
422,315082,315082
423,347080,347080
424,370129,370129
425,34244,A/4. 34244
426,2003,2003
427,250655,250655
428,364851,364851
429,392078,SOTON/O.Q. 392078
430,110564,110564
431,376564,376564
432,3085,SC/AH 3085
433,,STON/O 2. 3101274
434,13507,13507
435,113760,113760
436,6608,W./C. 6608
437,29106,29106
438,19950,19950
439,18723,C.A. 18723
440,13529,F.C.C. 13529
441,345769,345769
442,347076,347076
443,230434,230434
444,65306,65306
445,33638,33638
446,250644,250644
447,113794,113794
448,2666,2666
449,113786,113786
450,34651,C.A. 34651
451,65303,65303
452,113051,113051
453,17453,17453
454,2817,A/5 2817
455,349240,349240
456,13509,13509
457,17464,17464
458,13531,F.C.C. 13531
459,371060,371060
460,19952,19952
461,364506,364506
462,111320,111320
463,234360,234360
464,2816,A/S 2816
465,3101306,SOTON/O.Q. 3101306
466,239853,239853
467,113792,113792
468,36209,36209
469,2666,2666
470,323592,323592
471,315089,315089
472,34651,C.A. 34651
473,,SC/AH Basle 541
474,7553,7553
475,110465,110465
476,31027,31027
477,3460,3460
478,350060,350060
479,3101298,3101298
480,2144,CA 2144
481,239854,239854
482,3594,A/5 3594
483,4134,4134
484,11967,11967
485,4133,4133
486,19943,19943
487,11771,11771
488,18509,A.5. 18509
489,37671,C.A. 37671
490,65304,65304
491,3101317,SOTON/OQ 3101317
492,113787,113787
493,17609,PC 17609
494,45380,A/4 45380
495,2627,2627
496,36947,36947
497,6212,C.A. 6212
498,113781,113781
499,350035,350035
500,315086,315086
501,364846,364846
502,330909,330909
503,4135,4135
504,110152,110152
505,17758,PC 17758
506,26360,26360
507,111427,111427
508,4001,C 4001
509,1601,1601
510,382651,382651
511,3101316,SOTON/OQ 3101316
512,17473,PC 17473
513,17603,PC 17603
514,349209,349209
515,36967,36967
516,34260,C.A. 34260
517,371110,371110
518,226875,226875
519,349242,349242
520,12749,12749
521,349252,349252
522,2624,2624
523,111361,111361
524,2700,2700
525,367232,367232
526,14258,W./C. 14258
527,17483,PC 17483
528,3101296,3101296
529,29104,29104
530,26360,26360
531,2641,2641
532,2690,2690
533,2668,2668
534,315084,315084
535,13529,F.C.C. 13529
536,113050,113050
537,17761,PC 17761
538,364498,364498
539,13568,13568
540,5735,WE/P 5735
541,347082,347082
542,347082,347082
543,2908,2908
544,17761,PC 17761
545,693,693
546,2908,2908
547,2146,SC/PARIS 2146
548,363291,363291
549,33112,C.A. 33112
550,17421,17421
551,244358,244358
552,330979,330979
553,2620,2620
554,347085,347085
555,113807,113807
556,11755,11755
557,17757,PC 17757
558,110413,110413
559,345572,345572
560,372622,372622
561,349251,349251
562,218629,218629
563,392082,SOTON/OQ 392082
564,392087,SOTON/O.Q. 392087
565,48871,A/4 48871
566,349205,349205
567,349909,349909
568,2686,2686
569,350417,350417
570,752,S.W./PP 752
571,11769,11769
572,17474,PC 17474
573,14312,14312
574,20589,A/4. 20589
575,358585,358585
576,243880,243880
577,13507,13507
578,2689,2689
579,,STON/O 2. 3101286
580,237789,237789
581,17421,17421
582,28403,28403
583,13049,13049
584,3411,3411
585,110413,110413
586,237565,237565
587,13567,13567
588,14973,14973
589,3235,A./5. 3235
590,,STON/O 2. 3101273
591,36947,36947
592,3902,A/5 3902
593,364848,364848
594,29037,SC/AH 29037
595,345773,345773
596,248727,248727
597,,LINE
598,2664,2664
599,17485,PC 17485
600,243847,243847
601,349214,349214
602,113796,113796
603,364511,364511
604,111426,111426
605,349910,349910
606,349246,349246
607,113804,113804
608,2123,SC/Paris 2123
609,17582,PC 17582
610,347082,347082
611,3101305,SOTON/O.Q. 3101305
612,367230,367230
613,370377,370377
614,364512,364512
615,220845,220845
616,347080,347080
617,3336,A/5. 3336
618,230136,230136
619,31028,31028
620,2659,2659
621,11753,11753
622,2653,2653
623,350029,350029
624,54636,54636
625,36963,36963
626,219533,219533
627,13502,13502
628,349224,349224
629,334912,334912
630,27042,27042
631,347743,347743
632,13214,13214
633,112052,112052
634,347088,347088
635,237668,237668
636,,STON/O 2. 3101292
637,31921,C.A. 31921
638,3101295,3101295
639,376564,376564
640,350050,350050
641,17477,PC 17477
642,347088,347088
643,1601,1601
644,2666,2666
645,17572,PC 17572
646,349231,349231
647,13213,13213
648,751,S.O./P.P. 751
649,2314,CA. 2314
650,349221,349221
651,231919,231919
652,8475,8475
653,330919,330919
654,365226,365226
655,14879,S.O.C. 14879
656,349223,349223
657,364849,364849
658,29751,29751
659,35273,35273
660,17611,PC 17611
661,2623,2623
662,5727,5727
663,349210,349210
664,,STON/O 2. 3101285
665,14879,S.O.C. 14879
666,234686,234686
667,312993,312993
668,3536,A/5 3536
669,19996,19996
670,29750,29750
671,12750,F.C. 12750
672,24580,C.A. 24580
673,244270,244270
674,239856,239856
675,349912,349912
676,342826,342826
677,4138,4138
678,2144,CA 2144
679,17755,PC 17755
680,330935,330935
681,17572,PC 17572
682,6563,6563
683,2144,CA 2144
684,29750,29750
685,2123,SC/Paris 2123
686,3101295,3101295
687,349228,349228
688,350036,350036
689,24160,24160
690,17474,17474
691,349256,349256
692,1601,1601
693,2672,2672
694,113800,113800
695,248731,248731
696,363592,363592
697,35852,35852
698,17421,17421
699,348121,348121
700,17757,PC 17757
701,17475,PC 17475
702,2691,2691
703,36864,36864
704,350025,350025
705,250655,250655
706,223596,223596
707,17476,PC 17476
708,113781,113781
709,2661,2661
710,17482,PC 17482
711,113028,113028
712,19996,19996
713,7545,7545
714,250647,250647
715,348124,348124
716,17757,PC 17757
717,34218,34218
718,36568,36568
719,347062,347062
720,248727,248727
721,350048,350048
722,12233,12233
723,250643,250643
724,113806,113806
725,315094,315094
726,31027,31027
727,36866,36866
728,236853,236853
729,3101271,STON/O2. 3101271
730,24160,24160
731,2699,2699
732,239855,239855
733,28425,28425
734,233639,233639
735,54636,54636
736,6608,W./C. 6608
737,17755,PC 17755
738,349201,349201
739,349218,349218
740,16988,16988
741,19877,19877
742,17608,PC 17608
743,376566,376566
744,,STON/O 2. 3101288
745,5735,WE/P 5735
746,2673,C.A. 2673
747,250648,250648
748,113773,113773
749,335097,335097
750,29103,29103
751,392096,392096
752,345780,345780
753,349204,349204
754,220845,220845
755,250649,250649
756,350042,350042
757,29108,29108
758,363294,363294
759,110152,110152
760,358585,358585
761,3101272,SOTON/O2 3101272
762,2663,2663
763,113760,113760
764,347074,347074
765,13502,13502
766,112379,112379
767,364850,364850
768,371110,371110
769,8471,8471
770,345781,345781
771,350047,350047
772,3,S.O./P.P. 3
773,2674,2674
774,29105,29105
775,347078,347078
776,383121,383121
777,364516,364516
778,36865,36865
779,24160,24160
780,2687,2687
781,17474,17474
782,113501,113501
783,6607,W./C. 6607
784,3101312,SOTON/O.Q. 3101312
785,374887,374887
786,3101265,3101265
787,382652,382652
788,2315,C.A. 2315
789,17593,PC 17593
790,12460,12460
791,239865,239865
792,2343,CA. 2343
793,17600,PC 17600
794,349203,349203
795,28213,28213
796,17465,17465
797,349244,349244
798,2685,2685
799,345773,345773
800,250647,250647
801,31921,C.A. 31921
802,113760,113760
803,2625,2625
804,347089,347089
805,347063,347063
806,112050,112050
807,347087,347087
808,248723,248723
809,113806,113806
810,3474,3474
811,48871,A/4 48871
812,28206,28206
813,347082,347082
814,364499,364499
815,112058,112058
816,3101290,STON/O2. 3101290
817,2079,S.C./PARIS 2079
818,7075,C 7075
819,347088,347088
820,12749,12749
821,315098,315098
822,19972,19972
823,392096,392096
824,3101295,3101295
825,368323,368323
826,1601,1601
827,2079,S.C./PARIS 2079
828,367228,367228
829,113572,113572
830,2659,2659
831,29106,29106
832,2671,2671
833,347468,347468
834,2223,2223
835,17756,PC 17756
836,315097,315097
837,392092,392092
838,1601,1601
839,11774,11774
840,3101287,SOTON/O2 3101287
841,3,S.O./P.P. 3
842,113798,113798
843,2683,2683
844,315090,315090
845,5547,C.A. 5547
846,2343,CA. 2343
847,349213,349213
848,248727,248727
849,17453,17453
850,347082,347082
851,347060,347060
852,2678,2678
853,17592,PC 17592
854,244252,244252
855,392091,392091
856,36928,36928
857,113055,113055
858,2666,2666
859,2629,2629
860,350026,350026
861,28134,28134
862,17466,17466
863,2343,CA. 2343
864,233866,233866
865,236852,236852
866,2149,SC/PARIS 2149
867,17590,PC 17590
868,345777,345777
869,347742,347742
870,349248,349248
871,11751,11751
872,695,695
873,345765,345765
874,3381,P/PP 3381
875,2667,2667
876,7534,7534
877,349212,349212
878,349217,349217
879,11767,11767
880,230433,230433
881,349257,349257
882,7552,7552
883,34068,C.A./SOTON 34068
884,392076,SOTON/OQ 392076
885,382652,382652
886,211536,211536
887,112053,112053
888,6607,W./C. 6607
889,111369,111369
890,370376,370376
