0,1,2,3,4,5,6,7
1,2,64,1,1,112901,26.55,3
1,1,30,1,2,113781,151.55,3
3,1,0.83,0,1,392091,9.35,3
1,1,55,1,1,12749,93.5,3
3,2,45,1,0,350026,14.1083,3
3,1,18,0,0,315091,8.6625,3
3,1,22,0,0,2658,7.225,1
3,1,,0,0,1588,7.575,3
3,2,37,0,0,368364,7.75,2
1,2,55,0,0,17760,135.6333,1
3,2,17,0,0,30631,7.7333,2
1,1,57,1,0,17569,146.5208,1
2,1,19,0,0,28004,10.5,3
3,1,27,0,0,350408,7.8542,3
2,1,22,2,0,31029,31.5,3
3,1,26,0,0,347075,7.775,3
3,1,25,0,0,2654,7.2292,1
2,1,26,0,0,244368,13,3
1,1,33,0,0,113790,26.55,3
1,2,39,0,0,24160,211.3375,3
3,1,23,0,0,3101309,7.05,3
2,2,12,2,1,230136,39,3
1,1,46,0,0,17585,79.2,1
2,1,29,1,0,2003,26,3
2,1,21,0,0,236854,13,3
2,2,48,0,2,33112,36.75,3
1,1,39,0,0,17580,29.7,1
3,1,,0,0,2684,7.225,1
3,2,19,1,1,2653,15.7417,1
3,1,27,0,0,349229,7.8958,3
1,1,30,0,0,110469,26,3
2,1,32,0,0,244360,13,3
3,1,39,0,2,2675,7.2292,1
2,1,25,0,0,31029,31.5,3
3,1,,0,0,2622,7.2292,1
2,1,18,0,0,15185,10.5,3
3,1,32,0,0,350403,7.5792,3
3,1,,1,9,2343,69.55,3
1,2,58,0,1,17755,512.3292,1
3,1,,1,1,851,14.5,3
3,2,16,0,0,348125,7.65,3
2,1,26,0,0,237670,13,3
3,2,38,0,0,2688,7.2292,1
2,1,24,0,0,248726,13.5,3
2,2,31,0,0,13528,21,3
1,2,45,0,1,17759,63.3583,1
2,1,25,0,0,13540,10.5,3
2,1,18,0,0,14879,73.5,3
2,1,49,1,2,220845,65,3
3,2,0.17,1,2,2315,20.575,3
1,1,50,0,0,113044,26,3
1,2,59,2,0,11769,51.4792,3
3,1,,0,0,1222,7.8792,3
3,1,,0,0,368402,7.75,2
3,2,30,1,0,349910,15.55,3
3,1,14.5,8,2,2343,69.55,3
2,2,24,1,1,2079,37.0042,1
2,2,31,0,0,31352,21,3
3,1,27,0,0,315083,8.6625,3
1,2,25,1,0,11765,55.4417,1
3,2,,1,9,2343,69.55,3
3,1,,1,0,2689,14.4583,1
3,2,22,0,0,3101295,39.6875,3
1,2,45,0,1,112378,59.4,1
2,1,29,0,0,2147,13.8583,1
2,1,21,1,0,28133,11.5,3
1,2,31,0,0,16966,134.5,1
1,1,49,0,0,112058,0,3
2,1,44,0,0,248746,13,3
1,2,54,1,1,33638,81.8583,3
1,2,45,0,0,17608,262.375,1
3,2,22,2,0,315152,8.6625,3
2,1,21,0,0,29107,11.5,3
1,1,55,0,0,680,50,3
3,1,5,4,2,347077,31.3875,3
3,1,,0,0,366713,7.75,2
3,1,26,0,0,330910,7.8792,2
3,2,,0,0,364498,14.5,3
3,2,19,1,0,376566,16.1,3
2,1,,0,0,2159,12.875,3
2,2,24,1,2,220845,65,3
3,1,24,0,0,349911,7.775,3
2,1,57,0,0,244346,13,3
3,1,21,0,0,364858,7.75,2
3,1,6,3,1,349909,21.075,3
1,1,23,0,0,12749,93.5,3
1,2,51,0,1,17592,39.4,3
3,1,13,0,2,2673,20.25,3
2,1,47,0,0,30769,10.5,3
3,1,29,3,1,315153,22.025,3
1,2,18,1,0,13695,60,3
3,1,24,0,0,371109,7.25,2
1,2,48,1,1,13567,79.2,1
3,1,22,0,0,347065,7.775,3
3,1,31,0,0,21332,7.7333,2
1,2,30,0,0,36928,164.8667,3
2,1,38,1,0,28664,21,3
1,2,22,0,1,112378,59.4,1
1,1,17,0,0,113059,47.1,3
1,1,43,1,0,17765,27.7208,1
2,1,20,0,0,2166,13.8625,1
2,1,23,1,0,28666,10.5,3
1,1,50,1,1,113503,211.5,1
3,2,,0,0,334915,7.7208,2
3,2,3,1,1,3101315,13.775,3
3,2,,0,0,365237,7.75,2
1,2,37,1,0,19928,90,2
3,2,28,0,0,347086,7.775,3
3,1,,0,0,3236,8.05,3
1,2,39,0,0,17758,108.9,1
3,1,38.5,0,0,3101262,7.25,3
3,1,,0,0,359309,8.05,3
3,1,,1,1,2668,22.3583,1
